batch_size,rollout/return_mean,bc/samples_so_far,bc/loss,bc/neglogp,rollout/return_max,bc/epoch,bc/entropy,bc/l2_loss,rollout/return_min,bc/l2_norm,bc/ent_loss,bc/batch,rollout/return_std,bc/prob_true_act
32,-49.7304801940918,32,1.605049729347229,1.606659173965454,-44.44422912597656,0,1.6094200611114502,0.0,-55.9317512512207,128.500244140625,-0.001609420171007514,0,3.877706527709961,0.20055729150772095
32,-101.27229309082031,32,0.6904857158660889,0.6915781497955322,-91.90130615234375,0,1.0924408435821533,0.0,-110.97123718261719,145.1315460205078,-0.001092440914362669,0,7.717947483062744,0.5450291633605957
32,-80.74190521240234,32,1.1511776447296143,1.1522064208984375,-57.5568962097168,0,1.0288050174713135,0.0,-116.30430603027344,145.28817749023438,-0.0010288050398230553,0,19.369577407836914,0.41209912300109863
32,-78.59996032714844,32,1.1365793943405151,1.137650489807129,-68.466064453125,0,1.0711290836334229,0.0,-89.42081451416016,145.066650390625,-0.0010711291106417775,0,9.101805686950684,0.42639780044555664
32,-71.80458068847656,16032,1.0299973487854004,1.031055212020874,-51.448341369628906,4,1.05792236328125,0.0,-96.1527099609375,144.90382385253906,-0.001057922374457121,500,14.628005981445312,0.45320338010787964
32,-81.67054748535156,32,0.734836757183075,0.7358905076980591,-63.14928436279297,0,1.0537543296813965,0.0,-122.02180480957031,145.02349853515625,-0.0010537543566897511,0,20.880138397216797,0.5410866737365723
32,-93.2711181640625,16032,0.8975305557250977,0.8986892104148865,-30.158512115478516,3,1.1586313247680664,0.0,-116.74656677246094,160.11021423339844,-0.001158631406724453,500,32.41387176513672,0.5034641027450562
32,-77.96178436279297,32,1.2597330808639526,1.2607886791229248,-73.43470764160156,0,1.055609941482544,0.0,-81.26221466064453,175.42446899414062,-0.0010556100169196725,0,3.341757297515869,0.41318708658218384
32,-61.69122314453125,16032,0.9264974594116211,0.9275393486022949,-40.88496398925781,2,1.0418704748153687,0.0,-76.06216430664062,179.82858276367188,-0.0010418705642223358,500,13.51240348815918,0.49589109420776367
32,-58.888145446777344,32,0.8318080306053162,0.8328438997268677,0.7314071655273438,0,1.0358543395996094,0.0,-81.66220092773438,180.3527374267578,-0.0010358543368056417,0,30.185501098632812,0.5152299404144287
32,-72.04365539550781,16032,0.9803368449211121,0.981421947479248,-16.666223526000977,2,1.085129976272583,0.0,-112.15129852294922,184.30975341796875,-0.0010851300321519375,500,39.722694396972656,0.4802955985069275
32,-56.9149169921875,32032,0.7237703204154968,0.7246260643005371,-20.68927574157715,4,0.8557310104370117,0.0,-75.49818420410156,184.81915283203125,-0.0008557310793548822,1000,20.694950103759766,0.6178816556930542
32,-76.5057373046875,32,0.9992675185203552,1.0001447200775146,-54.310646057128906,0,0.8772264122962952,0.0,-90.83197784423828,184.78842163085938,-0.0008772264700382948,0,13.126452445983887,0.5520716309547424
32,-54.57316207885742,16032,1.0655421018600464,1.0664476156234741,-27.63130760192871,2,0.9054677486419678,0.0,-79.21212005615234,186.3843994140625,-0.0009054677793756127,500,21.19182777404785,0.4911262094974518
32,-39.62501907348633,32032,0.8424421548843384,0.8431878089904785,-16.980636596679688,4,0.745628833770752,0.0,-78.8150634765625,186.71267700195312,-0.0007456288440153003,1000,22.102815628051758,0.6010675430297852
32,-32.10527420043945,32,0.9038093090057373,0.9046403169631958,-11.853533744812012,0,0.8310036063194275,0.0,-62.666099548339844,186.83987426757812,-0.0008310036500915885,0,16.91611099243164,0.5897061824798584
32,-74.42607879638672,16032,0.8182863593101501,0.819117546081543,-39.98875427246094,1,0.8311862945556641,0.0,-94.1826400756836,205.3450164794922,-0.000831186305731535,500,18.66291618347168,0.5978457927703857
32,-90.23100280761719,32032,1.1540776491165161,1.1550662517547607,-16.083433151245117,3,0.9886404275894165,0.0,-118.31356811523438,205.5496826171875,-0.0009886404732242227,1000,37.9071159362793,0.46672484278678894
32,-103.9383773803711,32,1.0459623336791992,1.0469622611999512,-92.88689422607422,0,0.9999731183052063,0.0,-117.25736236572266,205.67428588867188,-0.0009999731555581093,0,8.66685962677002,0.5059670805931091
32,-103.5753402709961,16032,0.8687507510185242,0.8697242140769958,-24.654739379882812,1,0.9734446406364441,0.0,-128.20684814453125,208.49009704589844,-0.000973444664850831,500,40.0241584777832,0.5561280846595764
32,-66.12237548828125,32032,1.0040178298950195,1.0050299167633057,-12.878329277038574,3,1.0120974779129028,0.0,-112.45844268798828,208.60899353027344,-0.0010120975784957409,1000,43.32957077026367,0.507364809513092
32,-95.11571502685547,48032,0.8668728470802307,0.8677683472633362,-24.65723991394043,4,0.8954980969429016,0.0,-121.75061798095703,208.9598846435547,-0.0008954981458373368,1500,35.62888717651367,0.5898665189743042
32,-64.0879898071289,32,0.8983243703842163,0.8992569446563721,-22.534873962402344,0,0.9325668811798096,0.0,-110.8537368774414,208.99017333984375,-0.0009325669379904866,0,33.847412109375,0.5644731521606445
32,-67.12321472167969,16032,0.9884769916534424,0.9893685579299927,-22.03365135192871,1,0.8915450572967529,0.0,-117.88983917236328,213.91766357421875,-0.0008915450889617205,500,38.69158935546875,0.5428842306137085
32,-64.58782958984375,32032,0.6391990780830383,0.6399786472320557,-23.344581604003906,3,0.7795689702033997,0.0,-87.592041015625,212.12632751464844,-0.0007795690326020122,1000,22.681238174438477,0.651548445224762
32,-52.229827880859375,48032,0.7978846430778503,0.7987082004547119,-18.149009704589844,4,0.8235368728637695,0.0,-71.80218505859375,211.33074951171875,-0.0008235368877649307,1500,21.194198608398438,0.5967890620231628
